customer_id,tenure_months,monthly_charges,total_charges,support_calls_30d,contract,payment_method,internet_service,churn
C000001,6,144.05,8909.85,4,two-year,pix,dsl,0
C000002,56,148.76,2666.68,2,one-year,bank_transfer,dsl,0
C000003,47,128.31,8203.49,4,month-to-month,pix,fiber,0
C000004,32,77.7,8088.9,3,one-year,bank_transfer,fiber,1
C000005,31,91.16,7695.48,0,one-year,bank_transfer,fiber,0
C000006,62,85.43,1427.04,2,month-to-month,pix,fiber,1
C000007,6,40.24,5937.75,1,month-to-month,boleto,dsl,0
C000008,50,131.07,3419.05,3,month-to-month,boleto,fiber,0
C000009,14,107.85,4255.33,5,month-to-month,pix,fiber,0
C000010,6,102.93,1387.21,5,month-to-month,pix,dsl,0
C000011,38,48.64,8795.0,2,two-year,credit_card,dsl,0
C000012,71,39.91,2390.3,3,one-year,bank_transfer,fiber,0
C000013,53,133.49,7726.66,3,month-to-month,pix,dsl,0
C000014,55,43.32,542.14,1,month-to-month,bank_transfer,dsl,0
C000015,52,29.58,7130.88,4,month-to-month,boleto,fiber,0
C000016,57,101.33,7171.41,2,month-to-month,boleto,dsl,0
C000017,37,111.56,2348.48,5,month-to-month,bank_transfer,none,0
C000018,9,35.55,5107.04,3,two-year,bank_transfer,fiber,0
C000019,61,46.89,2679.05,5,month-to-month,credit_card,fiber,0
C000020,32,122.54,1895.58,3,one-year,boleto,fiber,0
C000021,36,140.85,5564.11,2,one-year,bank_transfer,fiber,0
C000022,27,81.94,6528.02,4,month-to-month,boleto,fiber,0
C000023,13,122.96,6413.5,2,month-to-month,boleto,fiber,1
C000024,67,61.52,7546.28,3,one-year,credit_card,fiber,0
C000025,57,111.42,6437.17,3,month-to-month,boleto,dsl,0
C000026,47,92.44,3442.03,3,one-year,boleto,fiber,0
C000027,29,129.62,8812.81,5,one-year,boleto,fiber,0
C000028,60,120.87,8602.52,0,month-to-month,pix,none,1
C000029,39,56.94,4067.34,4,month-to-month,boleto,dsl,1
C000030,32,39.43,8740.38,2,month-to-month,boleto,fiber,0
C000031,32,125.0,8848.16,4,month-to-month,boleto,fiber,0
C000032,16,24.26,6691.88,0,one-year,bank_transfer,fiber,0
C000033,6,108.28,7267.93,4,month-to-month,bank_transfer,fiber,0
C000034,40,81.87,1027.2,2,two-year,pix,none,0
C000035,64,29.79,2432.53,5,month-to-month,boleto,dsl,0
C000036,4,109.51,1101.86,1,month-to-month,boleto,none,0
C000037,62,82.77,1379.0,2,month-to-month,bank_transfer,fiber,0
C000038,60,131.81,6994.97,4,month-to-month,bank_transfer,fiber,0
C000039,20,47.12,1842.33,0,two-year,pix,fiber,1
C000040,46,20.3,3401.92,0,month-to-month,credit_card,fiber,0
C000041,12,36.96,3928.21,2,one-year,boleto,none,0
C000042,55,55.05,615.42,3,month-to-month,bank_transfer,fiber,1
C000043,51,104.79,7751.75,3,month-to-month,boleto,dsl,0
C000044,25,67.14,7611.37,5,month-to-month,bank_transfer,fiber,1
C000045,4,35.37,172.39,4,one-year,bank_transfer,dsl,1
C000046,70,147.6,5329.59,2,month-to-month,bank_transfer,fiber,1
C000047,32,34.07,5386.64,0,month-to-month,pix,dsl,0
C000048,65,66.17,5625.95,1,two-year,bank_transfer,fiber,1
C000049,49,133.96,2328.23,0,two-year,pix,fiber,0
C000050,56,104.84,1522.26,4,month-to-month,boleto,dsl,0
C000051,55,61.57,779.43,1,two-year,pix,none,0
C000052,14,146.15,6491.37,5,month-to-month,credit_card,none,0
C000053,26,85.14,4431.07,4,one-year,credit_card,fiber,1
C000054,34,21.05,5514.95,5,month-to-month,boleto,dsl,0
C000055,36,20.8,5018.92,4,one-year,boleto,fiber,1
C000056,3,142.33,5921.13,4,month-to-month,credit_card,fiber,0
C000057,39,56.55,6349.27,5,two-year,pix,dsl,0
C000058,11,125.57,1904.8,2,two-year,pix,fiber,0
C000059,54,25.66,6191.75,0,month-to-month,credit_card,dsl,0
C000060,49,39.1,2484.25,1,month-to-month,boleto,fiber,0
C000061,67,131.38,249.25,2,month-to-month,boleto,fiber,0
C000062,54,149.23,7370.15,3,one-year,bank_transfer,none,0
C000063,26,26.75,6764.58,3,month-to-month,credit_card,fiber,0
C000064,70,41.79,6772.78,3,month-to-month,bank_transfer,dsl,0
C000065,29,113.98,3381.47,2,month-to-month,pix,fiber,1
C000066,23,88.84,6962.03,0,one-year,boleto,fiber,1
C000067,66,72.78,2609.14,2,month-to-month,bank_transfer,none,0
C000068,27,45.28,2682.18,1,one-year,boleto,fiber,1
C000069,5,142.91,3293.32,2,month-to-month,credit_card,dsl,0
C000070,34,42.39,6511.78,2,two-year,bank_transfer,fiber,0
C000071,58,54.48,2234.65,3,month-to-month,pix,fiber,0
C000072,13,62.16,669.06,2,month-to-month,boleto,fiber,0
C000073,33,38.02,2333.15,4,one-year,boleto,none,0
C000074,9,89.71,4132.98,0,two-year,bank_transfer,none,1
C000075,50,64.37,2870.1,2,two-year,boleto,fiber,0
C000076,34,99.02,6477.51,5,month-to-month,boleto,none,0
C000077,24,67.82,696.58,0,month-to-month,credit_card,fiber,0
C000078,16,35.14,5903.5,5,one-year,credit_card,fiber,0
C000079,41,133.44,2824.26,2,two-year,bank_transfer,dsl,1
C000080,48,86.25,1654.56,5,one-year,bank_transfer,fiber,0
C000081,68,61.84,2099.17,5,month-to-month,pix,fiber,0
C000082,31,22.13,1787.03,5,two-year,credit_card,dsl,1
C000083,11,97.72,7748.49,3,two-year,boleto,fiber,1
C000084,60,121.73,2659.06,0,month-to-month,pix,fiber,1
C000085,45,104.51,7315.31,3,one-year,pix,dsl,0
C000086,51,122.4,2611.28,4,one-year,credit_card,fiber,0
C000087,7,40.15,33.74,4,month-to-month,credit_card,dsl,0
C000088,22,146.32,61.54,2,month-to-month,bank_transfer,dsl,0
C000089,56,47.47,3309.61,5,two-year,boleto,none,0
C000090,60,54.68,7687.78,0,one-year,pix,fiber,0
C000091,31,86.6,5325.46,0,two-year,credit_card,fiber,0
C000092,58,20.68,6115.55,4,two-year,boleto,dsl,0
C000093,61,77.52,3732.09,0,month-to-month,pix,fiber,0
C000094,28,45.44,2477.83,4,one-year,bank_transfer,fiber,0
C000095,65,117.37,5786.43,5,two-year,bank_transfer,dsl,0
C000096,21,118.51,5215.07,1,two-year,pix,fiber,0
C000097,17,100.05,313.47,4,month-to-month,boleto,fiber,0
C000098,49,74.82,4977.86,1,month-to-month,boleto,fiber,0
C000099,46,60.33,5676.64,2,two-year,pix,none,1
C000100,10,127.57,3315.79,0,two-year,credit_card,fiber,1
C000101,60,85.92,3077.58,4,two-year,boleto,fiber,1
C000102,14,84.54,7086.8,4,one-year,credit_card,none,1
C000103,58,34.75,3337.89,1,month-to-month,boleto,none,1
C000104,0,48.39,2578.03,3,one-year,credit_card,fiber,1
C000105,58,66.86,7062.35,2,month-to-month,pix,fiber,0
C000106,57,110.85,8863.59,4,month-to-month,bank_transfer,dsl,0
C000107,56,129.89,1663.08,5,month-to-month,bank_transfer,fiber,1
C000108,48,149.07,3405.87,2,one-year,bank_transfer,fiber,0
C000109,34,75.57,23.61,4,month-to-month,boleto,fiber,0
C000110,51,78.92,4371.6,2,month-to-month,credit_card,fiber,0
C000111,20,119.59,2545.51,0,one-year,boleto,fiber,0
C000112,56,61.76,7430.62,0,month-to-month,bank_transfer,fiber,1
C000113,40,90.27,8241.95,2,month-to-month,boleto,dsl,0
C000114,33,108.01,1045.54,3,month-to-month,credit_card,none,1
C000115,36,50.71,7774.23,0,month-to-month,boleto,fiber,0
C000116,41,56.35,1934.87,4,month-to-month,boleto,none,1
C000117,2,66.3,2771.65,2,month-to-month,pix,dsl,0
C000118,10,95.1,7971.68,5,two-year,boleto,fiber,0
C000119,17,55.15,3287.21,0,month-to-month,boleto,dsl,0
C000120,8,47.06,151.78,5,month-to-month,bank_transfer,fiber,0
C000121,32,39.44,466.26,2,one-year,boleto,dsl,0
C000122,48,125.21,3039.07,1,month-to-month,bank_transfer,none,0
C000123,47,135.18,7959.78,2,one-year,credit_card,fiber,0
C000124,34,137.61,798.07,3,two-year,bank_transfer,dsl,0
C000125,62,126.81,1760.17,1,month-to-month,pix,dsl,0
C000126,41,37.85,8706.05,3,one-year,credit_card,dsl,0
C000127,5,32.71,3703.25,1,two-year,boleto,fiber,0
C000128,55,84.89,7853.82,1,two-year,bank_transfer,dsl,0
C000129,41,87.79,3450.45,5,one-year,boleto,none,1
C000130,46,115.27,4664.76,1,two-year,credit_card,dsl,0
C000131,41,48.97,8522.43,4,month-to-month,pix,fiber,1
C000132,40,141.02,8607.41,1,month-to-month,bank_transfer,fiber,0
C000133,6,60.29,1489.81,3,month-to-month,bank_transfer,dsl,0
C000134,40,95.12,6090.8,3,one-year,pix,fiber,0
C000135,58,132.35,3817.95,4,one-year,bank_transfer,dsl,0
C000136,22,88.05,1347.87,5,two-year,pix,dsl,0
C000137,44,117.96,231.96,1,one-year,credit_card,dsl,0
C000138,2,117.37,4570.17,1,month-to-month,pix,fiber,1
C000139,25,122.7,843.61,0,two-year,pix,dsl,0
C000140,31,125.44,8445.33,5,month-to-month,bank_transfer,fiber,0
C000141,71,71.02,2249.47,4,one-year,credit_card,none,0
C000142,15,67.26,3958.38,0,two-year,bank_transfer,dsl,0
C000143,20,124.45,6537.39,2,one-year,pix,fiber,0
C000144,29,95.36,4569.04,4,month-to-month,boleto,fiber,0
C000145,72,99.0,3396.22,0,month-to-month,credit_card,dsl,1
C000146,62,73.55,5666.42,2,month-to-month,bank_transfer,fiber,1
C000147,2,46.21,1779.18,3,one-year,pix,dsl,0
C000148,17,79.4,4416.75,0,month-to-month,credit_card,fiber,0
C000149,59,146.05,8668.42,5,two-year,pix,dsl,0
C000150,4,57.81,7062.81,5,month-to-month,boleto,fiber,1
C000151,62,55.36,3012.3,0,month-to-month,pix,fiber,0
C000152,20,37.0,8213.76,0,month-to-month,pix,fiber,1
C000153,66,82.55,7873.86,0,month-to-month,pix,dsl,0
C000154,21,57.51,2443.19,1,one-year,pix,dsl,0
C000155,31,109.33,8407.79,2,month-to-month,boleto,fiber,0
C000156,48,37.57,4368.16,0,one-year,bank_transfer,none,0
C000157,9,52.15,8395.41,3,month-to-month,credit_card,fiber,0
C000158,40,28.04,4947.05,5,one-year,bank_transfer,fiber,0
C000159,36,25.39,870.66,4,month-to-month,credit_card,fiber,1
C000160,57,125.84,1252.54,3,two-year,credit_card,fiber,1
C000161,72,137.76,4480.71,3,month-to-month,boleto,fiber,0
C000162,48,119.31,223.51,0,one-year,boleto,dsl,0
C000163,29,132.47,6915.67,0,month-to-month,bank_transfer,fiber,0
C000164,29,31.26,2769.08,4,month-to-month,credit_card,dsl,0
C000165,30,136.76,281.77,2,month-to-month,pix,fiber,0
C000166,59,80.59,5837.88,5,month-to-month,bank_transfer,dsl,1
C000167,23,119.92,5450.98,4,one-year,credit_card,fiber,0
C000168,12,100.05,1139.19,3,two-year,pix,fiber,0
C000169,24,65.48,1631.38,3,one-year,bank_transfer,dsl,0
C000170,1,54.42,6690.82,1,month-to-month,boleto,fiber,0
C000171,7,35.36,1359.9,5,two-year,boleto,fiber,1
C000172,6,73.64,58.03,3,month-to-month,boleto,fiber,1
C000173,56,84.23,8997.42,1,month-to-month,bank_transfer,dsl,0
C000174,52,147.8,2611.57,3,month-to-month,credit_card,fiber,1
C000175,50,24.85,8019.47,4,month-to-month,pix,none,0
C000176,33,96.72,3726.68,2,one-year,credit_card,none,0
C000177,52,88.25,8665.0,1,month-to-month,credit_card,fiber,0
